Process Hacker 3.0.4365
Windows NT 10.0 (64-bit)
上午 1:42:03 2021/10/16 周六

"Name","PID","CPU","I/O total rate","Private bytes","Working set","Description","Company name","User name","File name","Command line","Package name"
"GroupyCtrl.exe","9284","0.26","274 B/s","20.62 MB","42.05 MB","Stardock Groupy","Starock Software, Inc","DESKTOP-83L081J\krysl","D:\Program Files\Groupy\GroupyCtrl.exe","""D:\Program Files\Groupy\GroupyCtrl.exe""",""
"explorer.exe","9568","0.71","","378.54 MB","200.97 MB","Windows Explorer","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\explorer.exe","C:\WINDOWS\Explorer.EXE",""
"  RtkAudUService64.exe","1952","","","2.39 MB","8.56 MB","Realtek HD Audio Universal Service","Realtek Semiconductor","DESKTOP-83L081J\krysl","C:\Windows\System32\RtkAudUService64.exe","""C:\Windows\System32\RtkAudUService64.exe"" -background",""
"  Everything.exe","12972","0.04","924 B/s","190.38 MB","53.21 MB","Everything","voidtools","DESKTOP-83L081J\krysl","D:\Program Files\Everything\Everything.exe","""D:\Program Files\Everything\Everything.exe"" -startup",""
"  rundll32.exe","12540","","","3.81 MB","1.8 MB","Windows host process (Rundll32)","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\rundll32.exe","""C:\WINDOWS\system32\rundll32.exe"" ""D:\Program Files\Fences\FencesMenu64.dll"",StartFences",""
"  pdf24.exe","12736","","","2.2 MB","8.82 MB","PDF24 Backend","geek software GmbH","DESKTOP-83L081J\krysl","D:\Program Files\PDF24\pdf24.exe","""D:\Program Files\PDF24\pdf24.exe"" ",""
"  flux.exe","12748","0.06","","14.46 MB","26.56 MB","f.lux","f.lux Software LLC","DESKTOP-83L081J\krysl","C:\Users\krysl\AppData\Local\FluxSoftware\Flux\flux.exe","""C:\Users\krysl\AppData\Local\FluxSoftware\Flux\flux.exe"" /noshow",""
"  TSVNCache.exe","13320","","","4.19 MB","10.03 MB","TortoiseSVN status cache","https://tortoisesvn.net","DESKTOP-83L081J\krysl","C:\Program Files\TortoiseSVN\bin\TSVNCache.exe","""C:\Program Files\TortoiseSVN\bin\TSVNCache.exe""",""
"  7+ Taskbar Tweaker.exe","13472","","","2.95 MB","12.16 MB","7+ Taskbar Tweaker","RaMMicHaeL","DESKTOP-83L081J\krysl","D:\Program Files\7+ Taskbar Tweaker\7+ Taskbar Tweaker.exe","""D:\Program Files\7+ Taskbar Tweaker\7+ Taskbar Tweaker.exe"" -hidewnd",""
"  v2rayN.exe","13572","","311 B/s","46.95 MB","55.95 MB","v2rayN","","DESKTOP-83L081J\krysl","D:\Program Files\v2rayN\v2rayN.exe","""D:\Program Files\v2rayN\v2rayN.exe"" ",""
"    wv2ray.exe","13776","","132 B/s","63.07 MB","50.78 MB","","","DESKTOP-83L081J\krysl","D:\Program Files\v2rayN\wv2ray.exe","""D:\Program Files\v2rayN\wv2ray.exe""",""
"  Listary.exe","13832","0.18","274 B/s","152.25 MB","44.12 MB","Listary","Bopsoft","DESKTOP-83L081J\krysl","D:\Program Files\Listary\Listary.exe","""D:\Program Files\Listary\Listary.exe"" -startup",""
"    ListaryHelper64.exe","13912","0.01","","8.32 MB","26.67 MB","","","DESKTOP-83L081J\krysl","D:\Program Files\Listary\ListaryHelper64.exe","""D:\Program Files\Listary\ListaryHelper64.exe""",""
"      ProcessHacker.exe","8876","1.33","184 B/s","92.29 MB","125.97 MB","Process Hacker","Process Hacker","DESKTOP-83L081J\krysl","D:\Program Files\Process Hacker 3\64bit\ProcessHacker.exe","""D:\Program Files\Process Hacker 3\64bit\ProcessHacker.exe"" ",""
"        TSVNCache.exe","2028","","","2.93 MB","10.7 MB","TortoiseSVN status cache","https://tortoisesvn.net","DESKTOP-83L081J\krysl","C:\Program Files\TortoiseSVN\bin\TSVNCache.exe","""C:\Program Files\TortoiseSVN\bin\TSVNCache.exe""",""
"      ida64.exe","21664","0.11","","184.53 MB","58.69 MB","The Interactive Disassembler","Hex-Rays SA","DESKTOP-83L081J\krysl","D:\Program Files\IDA 7.5\ida64.exe","""D:\Program Files\IDA 7.5\ida64.exe"" ",""
"      vmmap64.exe","22208","","","20.92 MB","47 MB","Vmmap - process memory analyzer","Sysinternals - www.sysinternals.com","DESKTOP-83L081J\krysl","D:\Program Files\Sysinternals\vmmap64.exe","""D:\Program Files\Sysinternals\vmmap64.exe"" ",""
"      DependenciesGui.exe","19144","","","135.49 MB","346.91 MB","DependenciesGui","","DESKTOP-83L081J\krysl","D:\Program Files\Dependencies\DependenciesGui.exe","""D:\Program Files\Dependencies\DependenciesGui.exe"" ",""
"  BingWallpaperApp.exe","14104","","","25.6 MB","59.39 MB","Bing Wallpaper","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Users\krysl\AppData\Local\Microsoft\BingWallpaperApp\BingWallpaperApp.exe","""C:\Users\krysl\AppData\Local\Microsoft\BingWallpaperApp\BingWallpaperApp.exe"" ",""
"  iCloudServices.exe","14196","","","31.68 MB","55.87 MB","iCloud for Windows","Apple Inc.","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\iCloudServices.exe","""C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\iCloudServices.exe"" ","AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa"
"  iCloudDrive.exe","12516","","","39.49 MB","55.15 MB","iCloud Drive","Apple Inc.","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\iCloudDrive.exe","""C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\iCloudDrive.exe"" ","AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa"
"  WGestures.exe","2100","0.06","","81.66 MB","8.43 MB","WGestures","YingDev.com","DESKTOP-83L081J\krysl","C:\Program Files (x86)\WGestures\WGestures.exe","""C:\Program Files (x86)\WGestures\WGestures.exe"" ",""
"  QuickLook.exe","13072","","","52.9 MB","42.43 MB","QuickLook","pooi.moe","DESKTOP-83L081J\krysl","D:\Program Files\QuickLook\QuickLook.exe","""D:\Program Files\QuickLook\QuickLook.exe"" /autorun",""
"    QuickLook.WoW64HookHelper.exe","5200","","","1.41 MB","6.74 MB","","","DESKTOP-83L081J\krysl","D:\Program Files\QuickLook\QuickLook.WoW64HookHelper.exe","033A853A-E4B2-4552-9A91-E88789761C48",""
"  OneCommander.exe","8844","0.04","","344.84 MB","173.74 MB","One Commander V3","","DESKTOP-83L081J\krysl","D:\Program Files\OneCommander\OneCommander.exe","""D:\Program Files\OneCommander\OneCommander.exe"" ",""
"    PDBDownloader.exe","18992","","","90.38 MB","80.55 MB","PDB Downloader","","DESKTOP-83L081J\krysl","F:\Tools\PDBDownloader.exe","""F:\tools\PDBDownloader.exe"" ",""
"  Code.exe","21260","0.10","976 B/s","57.64 MB","108.29 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --extensions-dir G:\extensions\vscode-extensions-dir",""
"    Code.exe","16888","","","10.14 MB","26.24 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=G:\Users\krysl\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=G:\Users\krysl\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=04e6e73e-8ba4-4ba3-b78c-19fdd8617b3d&iid=04e6e73e-8ba4-4ba3-b78c-19fdd8617b3d&sid=04e6e73e-8ba4-4ba3-b78c-19fdd8617b3d --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.61.1 --annotation=prod=Electron --annotation=ver=13.5.1 --initial-client-data=0x410,0x414,0x418,0x40c,0x41c,0x7ff73e2a1080,0x7ff73e2a1090,0x7ff73e2a10a0",""
"    Code.exe","22780","","","622.29 MB","135.13 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=gpu-process --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --disable-color-correct-rendering --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=1664 /prefetch:2",""
"    Code.exe","12792","","","12.23 MB","36.79 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=zh-CN --service-sandbox-type=none --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=2208 /prefetch:8",""
"    Code.exe","23128","3.99","3.38 MB/s","51.41 MB","92.3 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=zh-CN --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""D:\Program Files\VS Code\resources\app"" --no-sandbox --no-zygote --disable-blink-features=Auxclick --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3156 /prefetch:1 --vscode-window-config=vscode:61975625-34c8-48a1-acbc-431a1345336d",""
"      Code.exe","8888","","","61.06 MB","78.8 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=ptyHost",""
"        conhost.exe","21444","","","2.07 MB","8.25 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 231 --height 29 --signal 0x300 --server 0x2f8",""
"        cmd.exe","7432","","","10.16 MB","7.89 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\System32\cmd.exe /f /d /k ""D:/Program Files/cmder/vendor/cmd_init_vscode_py3.bat""",""
"        conhost.exe","14904","","","2.09 MB","8.73 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 220 --height 29 --signal 0x2f8 --server 0x300",""
"        cmd.exe","2528","","","8.36 MB","10.65 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\System32\cmd.exe /f /d /k ""D:/Program Files/cmder/vendor/cmd_init_vscode_py3.bat""",""
"        conhost.exe","10084","","","2.16 MB","9.33 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 220 --height 29 --signal 0x458 --server 0x448",""
"        cmd.exe","9464","","","10.09 MB","13.71 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\System32\cmd.exe /f /d /k ""D:/Program Files/cmder/vendor/cmd_init_vscode_py3.bat""",""
"          node.exe","23384","","","16.48 MB","29.91 MB","Node.js JavaScript Runtime","Node.js","DESKTOP-83L081J\krysl","F:\Tools\nvm\v16.7.0\node.exe","""node""   ""F:\Tools\NodejsCache\npm\\node_modules\http-server\bin\http-server"" ",""
"    Code.exe","18208","","","137.55 MB","153.88 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=zh-CN --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""D:\Program Files\VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3868 /prefetch:1 --vscode-window-config=vscode:2d1f1952-a284-4b72-8533-1ab804299322",""
"      Code.exe","16456","0.20","1.46 kB/s","183.36 MB","87.66 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --inspect-port=0 ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost --skipWorkspaceStorageLock",""
"        Code.exe","22668","0.23","","189.46 MB","67 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" g:\extensions\vscode-extensions-dir\intellsmi.comment-translate-1.5.0\server\out\server.js --node-ipc --clientProcessId=16456",""
"        Code.exe","22612","","","17.55 MB","65.39 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" g:\extensions\vscode-extensions-dir\dbaeumer.vscode-eslint-2.2.1\server\out\eslintServer.js --node-ipc --clientProcessId=16456",""
"      Code.exe","18800","","","21.03 MB","64.48 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=watcherService",""
"    Code.exe","17312","","","478.34 MB","382.09 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=zh-CN --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""D:\Program Files\VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4080 /prefetch:1 --vscode-window-config=vscode:48e43afd-fc6b-40cd-acc2-512e3544cdf9",""
"      Code.exe","960","0.14","1.46 kB/s","383.22 MB","125.06 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --inspect-port=0 ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost --skipWorkspaceStorageLock",""
"        Code.exe","9484","","","44.93 MB","68.32 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" ""d:\Program Files\VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=960",""
"        Code.exe","3184","0.14","","203.74 MB","68.98 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" g:\extensions\vscode-extensions-dir\intellsmi.comment-translate-1.5.0\server\out\server.js --node-ipc --clientProcessId=960",""
"        cpptools.exe","4792","","","202.15 MB","14.82 MB","C/C++ Extension for Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","G:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0\bin\cpptools.exe","g:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0\bin\cpptools.exe",""
"          conhost.exe","19036","","","6.18 MB","5.19 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"          cpptools-srv.exe","3368","","","197.28 MB","14.07 MB","C/C++ IntelliSense Server for Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","G:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0\bin\cpptools-srv.exe","g:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0/bin/cpptools-srv.exe 4792 {EB669350-8703-404C-8D03-25AAC3734604}",""
"          cpptools-srv.exe","8132","","","138.97 MB","11.88 MB","C/C++ IntelliSense Server for Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","G:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0\bin\cpptools-srv.exe","g:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0/bin/cpptools-srv.exe 4792 {08743C9F-2BFB-4D44-9885-0D459866A4A6}",""
"          cpptools-srv.exe","264","","","167.43 MB","13.06 MB","C/C++ IntelliSense Server for Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","G:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0\bin\cpptools-srv.exe","g:\extensions\vscode-extensions-dir\ms-vscode.cpptools-1.7.0/bin/cpptools-srv.exe 4792 {15003FF2-09A0-4B27-AD53-AEB72F1F1ABD}",""
"        cmd.exe","21252","","","4.62 MB","4.7 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\system32\cmd.exe /d /s /c """"D:\flutter\flutter\bin\flutter.bat"" ""daemon""""",""
"          conhost.exe","2152","","","6.19 MB","5.48 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"          dart.exe","17560","0.05","1.24 kB/s","610.8 MB","153.23 MB","","","DESKTOP-83L081J\krysl","D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe","""D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe""  --disable-dart-dev --packages=""D:\flutter\flutter\packages\flutter_tools\.packages""  ""D:\flutter\flutter\bin\cache\flutter_tools.snapshot"" ""daemon"" ",""
"        cmd.exe","17248","","","4.29 MB","4.26 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\system32\cmd.exe /d /s /c """"D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe"" ""D:\flutter\flutter\bin\cache\dart-sdk\bin\snapshots\analysis_server.dart.snapshot"" ""--lsp"" ""--client-id=VS-Code"" ""--client-version=3.27.2""""",""
"          conhost.exe","12356","","","6.19 MB","5.29 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"          dart.exe","21896","","","548.65 MB","18.2 MB","","","DESKTOP-83L081J\krysl","D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe","""D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe""  ""D:\flutter\flutter\bin\cache\dart-sdk\bin\snapshots\analysis_server.dart.snapshot"" ""--lsp"" ""--client-id=VS-Code"" ""--client-version=3.27.2""",""
"        cmd.exe","19528","","","4.29 MB","4.27 MB","Windows Command Processor","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\cmd.exe","C:\WINDOWS\system32\cmd.exe /d /s /c """"D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe"" ""pub"" ""global"" ""run"" ""devtools"" ""--machine"" ""--try-ports"" ""10"" ""--allow-embedding""""",""
"          conhost.exe","17076","","","6.18 MB","5.33 MB","Console Window Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"          dart.exe","16212","","","87.45 MB","14.03 MB","","","DESKTOP-83L081J\krysl","D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe","""D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe""  ""pub"" ""global"" ""run"" ""devtools"" ""--machine"" ""--try-ports"" ""10"" ""--allow-embedding""",""
"            dart.exe","7072","","","57.58 MB","14.97 MB","","","DESKTOP-83L081J\krysl","D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe","D:\flutter\flutter\bin\cache\dart-sdk\bin\dart.exe --packages=D:\flutter\pub-cache\global_packages\devtools\.dart_tool\package_config.json file:///D:/flutter/pub-cache/global_packages/devtools/bin/devtools.dart-2.13.4.snapshot --machine --try-ports 10 --allow-embedding",""
"        Code.exe","16840","0.22","","17.44 MB","65.18 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" g:\extensions\vscode-extensions-dir\dbaeumer.vscode-eslint-2.2.1\server\out\eslintServer.js --node-ipc --clientProcessId=960",""
"      Code.exe","4276","","","20.92 MB","68.29 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=watcherService",""
"    Code.exe","15872","3.97","2.86 MB/s","287.34 MB","313.08 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1620,10049757536629715460,13605935580542726500,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=zh-CN --user-data-dir=""G:\Users\krysl\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""D:\Program Files\VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6376 /prefetch:1 --vscode-window-config=vscode:724a6a40-a7ff-4dd9-ae5d-db8509074e96",""
"      Code.exe","6856","0.07","1.49 kB/s","248.32 MB","224.07 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --inspect-port=0 ""d:\Program Files\VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost --skipWorkspaceStorageLock",""
"        Code.exe","5664","","","68.59 MB","126.17 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --max-old-space-size=3072 ""d:\Program Files\VS Code\resources\app\extensions\node_modules\typescript\lib\tsserver.js"" --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName C:\Users\krysl\AppData\Local\Temp\vscode-typescript\21e7304a2ec5c39e0b71\tscancellation-87049b3192073ed1ab5f.tmp* --globalPlugins typescript-vscode-sh-plugin --pluginProbeLocations ""d:\Program Files\VS Code\resources\app\extensions\typescript-language-features"" --locale en --noGetErrOnBackgroundUpdate --validateDefaultNpmLocation",""
"        Code.exe","20572","0.02","486 B/s","102.75 MB","157.5 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" --max-old-space-size=3072 ""d:\Program Files\VS Code\resources\app\extensions\node_modules\typescript\lib\tsserver.js"" --useInferredProjectPerProjectRoot --enableTelemetry --cancellationPipeName C:\Users\krysl\AppData\Local\Temp\vscode-typescript\21e7304a2ec5c39e0b71\tscancellation-29a01473fe207b05f2d4.tmp* --globalPlugins typescript-vscode-sh-plugin --pluginProbeLocations ""d:\Program Files\VS Code\resources\app\extensions\typescript-language-features"" --locale en --noGetErrOnBackgroundUpdate --validateDefaultNpmLocation",""
"          Code.exe","12620","","","33.91 MB","70.26 MB","Visual Studio Code","Microsoft Corporation","DESKTOP-83L081J\krysl","D:\Program Files\VS Code\Code.exe","""D:\Program Files\VS Code\Code.exe"" ""d:/Program Files/VS Code/resources/app/extensions/node_modules/typescript/lib/typingsInstaller.js"" --globalTypingsCacheLocation C:/Users/krysl/AppData/Local/Microsoft/TypeScript/4.4 --enableTelemetry --typesMapLocation ""d:/Program Files/VS Code/resources/app/extensions/node_modules/typescript/lib/typesMap.json"" --validateDefaultNpmLocation",""
